user_id,recipe_id,date,rating,review
38094,40893,2/17/2003,4,Great with a salad. Cooked on top of stove for 15 minutes.Added a shake of cayenne and a pinch of salt.  Used low fat sour cream.  Thanks.
1293707,40893,12/21/2011,5,"So simple, so delicious! Great for chilly fall evening. Should have doubled it ;)<br/><br/>Second time around, forgot the remaining cumin. We usually love cumin, but didn't notice the missing 1/2 teaspoon!"
8937,44394,12/1/2002,4,This worked very well and is EASY.  I used not quite a whole package (10oz) of white chips.  Great!
126440,85009,2/27/2010,5,I made the Mexican topping and took it to bunko.  Everyone loved it.
57222,85009,10/1/2011,5,"Made the cheddar bacon topping, adding a sprinkling of black pepper. Yum!"
52282,120345,5/21/2005,4,very very sweet. after i waited the 2 days i bought 2 more pints of raspberries and added them to the mix. i'm going to add some as a cake filling today and will take a photo.
124416,120345,8/6/2011,0,"Just an observation, so I will not rate.  I followed this procedure with strawberries instead of raspberries.  Perhaps this is the reason it did not work well.  Sorry to report that the strawberries I did in August were moldy in October.  They were stored in my downstairs fridge, which is very cold and infrequently opened.  Delicious and fresh-tasting prior to that, though.  So, keep a sharp eye on them.  Personally I would not keep them longer than a month.  This recipe also appears as #120345 posted in July 2009, which is when I tried it.  I also own the Edna Lewis cookbook in which this appears."
2000192946,120345,5/10/2015,2,"This recipe was OVERLY too sweet.  I would start out with 1/3 or 1/4 cup of sugar and jsut add on from there.  Just 2 cups was way too much and I had to go back to the grocery store to buy more raspberries because it made so much mix.  Overall, I would but the long narrow box or raspberries.  Its a perfect fit for the recipe plus a little extra.  I was not impressed with this recipe.  It was exceptionally over-sweet.  If you make this simple recipe, MAKE SURE TO ADD LESS SUGAR!"
76535,134728,9/2/2005,4,Very good!
273745,134728,12/22/2005,5,Better than the real!!
353911,134728,9/26/2006,5,"Absolutely AWESOME! I was speechless when I tried them. I've never had such juicy melt-in-your-mouth chicken made AT HOME!

I would, however, suggest to reduce the amount of flour. 2 cups was overkill for me. "
190375,134728,3/9/2007,5,These taste absolutely wonderful!!  My son-in-law loves them and requests them often! I followed the recipe exactly.  Thanks so much for posting this recipe.
468945,134728,2/20/2008,0,"Made my own buttermilk w/ vinegar and milk.  Used defrosted fresh skinless/boneless chicken fillets.  3 lbs.
This mix is extremely flavorful and its light .  I didnt do the bbq thing, but while I cooked homemade to go w/ this I put the chicken in the oven to keep warm and served bbq dipping sauce.  10 stars from my kids !"
255338,134728,4/11/2008,5,"First time using liquid smoke in a recipe. Made this as directed. My kids enjoyed this, so we will make this again. Thank you for posting."
1171894,134728,4/21/2009,5,"MMMMM! This is so good! I actually soaked the chicken in chicken bouillon first, and it made it super flavorful. I use Sweet Baby Ray's bbq sauce (DH's favorite), and cut chicken into nuggets instead of strips. This makes a good amount, so you could really freeze some and reheat in oven later. Those were our plans, but it was so good that it didn't make it to the ziploc bag!"
136726,197160,11/25/2006,5,"I used this mix to make meat balls.Very simple to put together.  I made a batch to put in the freezer too. I find meatballs are really handy to have around just add sauce and cheese for pasta meal or appetizer or for subs or snack.  These turned out to be very good I did add some garlic, but other than that I followed the recipe. The cinnamon in this added something to this that sets it apart from most meatball recipes I tried. Thanks for posting."
68960,200236,12/19/2006,4,"We really enjoyed this and so did both my young daughters. For this recipe I decided my crockpot would be perfect. I basically followed the recipe exactally except instead of adding the flour to the onions, I made a mix of flour, salt and pepper in a bag and then tossed the lamb to coat before browning. I added the spices to the onion/garlic to toast them slightly before deglazing with stock. Because I used the crockpot I cut the stock back to about 1/2 - 3/4 cup and used all the canned tomatoes. I added the canned chickpeas about an hour before serving.  This ended up cooking in the crockpot on low for about 6-7 hours. Served with Recipe #96875 this is a fabulous, filling family meal. Thank you for posting."
618928,200236,10/17/2007,4,this is an excellent got 'lamb and a tin of chickpeas what should I cook' recipe. I used our slow cooker too. I made it for 4-5 people ( so 680grms lamb).I followed the recipe but used a can of tomatoes and alittle stock ( maybe 1/4 cup) and transfered the simmered tomatoes to the lamb waiting in the slow cooker. On low for about 5-6 hrs perfect!
217118,200236,4/18/2008,5,"This was a lovely Morrocan style dish. I halved the recipe and made it on the stove top like a stew. I added a bit more stock to keep it from drying out. I left off the parsley and/or cilantro, didn't have any. Served with some warm pita type flat breads. I have a VERY picky Husband that even enjoyed this dish."
2000049093,200236,3/8/2015,5,"I love lamb stew and usually make an Irish version with potatoes, celery, carrots, onions or something close.  Now and then I&#039;m looking for a change of pace.  Using this recipe as a basis this turned out a really tasty and healthy lamb stew.   I plan to alternate this with the Irish style.  Mmm.  

I used the canned tomatoes, chickpeas, onion, garlic, also a little celery, a jalapeno pepper, and diced-up carrot and malanga root.  Used cumin, cinnamon, ginger, rosemary,  and cloves as well as salt and pepper.  Nice peppy flavor.

Looks great as well, if I get the camera working hope to send a picture."
202555,225241,6/20/2007,5,"My husband has just found out that he had to cut down on fat. He..like a lot of Okies is a solid meat and potato guy. 
It has been really hard to find things that he likes to eat but this recipe fit the bill. Has a wonderful flavor and we didn't miss the beef at all with this.
I would highly recommend!!!"
353579,225241,8/14/2007,5,"Very good, made with ingredients I usually have.  I didn't want to heat up my kitchen, so I did the final cooking in the microwave, which worked just fine.  Thanks for posting!"
635209,225241,11/6/2007,4,"Thought this was a great Core recipe.  My 79-year-old mom loved it too.  I did multiply the proportions x 3 or 4 so I could use whole cans of beans/Ro-tel tomatoes.  Also just added whole egg to the topping due to time and it was very good, but probably not as light as with egg white. I also was out of chicken broth and just used water and upped the seasonings; and used part shredded chicken and part canned chicken breast.  I made it spicy and served it with fat-free sour cream on top.  A winner!!"
681408,225241,3/14/2008,0,This is a very good recipe.  We also want to cut back on the fat content in our diet . Very tasty dish!!!
684460,225241,1/18/2009,5,We really liked this recipe - something different with chicken is always good to find.  The topping is really good - the kids thought it looked like a twinkie.  They really liked it; even if it wasn't a giant twinkie.
900992,225241,2/19/2009,3,"The ""cornbread"" on top is bland. I'd us a real cornbread recipe and put it on top instead."
135017,254596,9/29/2007,5,"I am extremely picky about my crockpot recipes (don't like most). This one was great! I made a half-recipe with 1 lb. of pork chops. Because my crockpot tends to burn meat (it's old, with the element on the bottom), I put the fruit mixture in first, then put the chops on top. I then spooned some of the fruit mixture on top of the meat. While at work I remembered I forgot to halve the wine (hee hee) but they still turned out just fine. Thanks, lazyme!
P.S.  I forgot to note that I did not do the cornstarch part and it was fine -- it made a juicy gravy that was nice with the mashed potatoes I also made.  Also, I did not have fresh cranberries and used a scant 1/2 cup of craisins instead, and that was fine, too.  It's all good, lazyme!"
224088,254596,10/21/2007,4,"Pork + fruit + crockpot = awesome.

A very good recipe!  Like the other reviewer, we used only about a pound of pork chops, had to sub dried cranberries and didn't bother with the cornstarch.  I didn't really chop things up, just quartered and cored the apples and threw the dried apricots in wholeâ€”everything cooked down to bits. I also skipped the wine.  The apricots and cranberries provided a very intense, rich taste that went great with the pork.  Thanks for the recipe!"
582223,254596,12/9/2007,5,really good my 18 month old loved it and she's really picky. I wasn't sure what type of wine to use so I used red. Thanks for the recipe!
1413963,254596,10/15/2009,5,One word says it all . Delicious!!!
483827,306785,7/15/2008,5,Being a  huge fan of America's Test Kitchen  I just had  to try this and I am  sure glad I did. It is really good. Sweet  corn is  just  coming in season here  and I have  chives in my herb garden so I had all the  best ingredients. I did  use a Jalapeno from the  garden instead of the  habanero. I  just made this and I plan to have it with some chicken. I'll  bet you could use some nice peaches to change it up a bit.      Thanks for posting .
56680,79222,11/11/2006,5,"Oh, This was wonderful!  Had a soup and salad dinner and most people barely ate salad, LOL.  This doubled easily and reheats well too!"
5060,310237,5/7/2010,5,"wow red and white sweetness!  DH loved them , I found them a bit two sweet for me but a nice change to serve strawberries.  very easy recipe, but I think 8 ounces of strawvberries is not enough, if I make them again I will double the strawberries and use about half of the cool whip. (I use light cool whip.)  Thanks for posting."
935485,321038,6/22/2009,5,Being a healthy bar this is very good.  I make just a couple of changes.  I used stevia instead of splenda.  I used recipe #81194 for the egg substitue.  And I used pure vanilla extract instead of the coffee mate.  I will be making a lot of these!
539686,321038,3/28/2011,5,My very health conscious daughter and I tripled this recipe and love them as cookie-sized treats. Very filling and healthy too. Thanks for posting.
6258,20930,7/9/2002,5,"Jan, what an interesting combination of flavors.
Really unique and very tasty.  I am so proud of myself because I am growing an herb garden and I had the chives and oregano (fresh).  You didn't specify whether the sundried tomatoes were oil packed or dry, so I chose the dry ones since you had olive oil listed.  I didn't have the pine nuts, so I used sunflower seeds, and that worked out well.  I loved eating this salad...no real cooking on a hot evening.  I will make this one again.  I am wondering how fresh tarragon would be instead of the oregano?  Maybe I will be brave and make it that way soon.  If I do, I will let you know how the substitution fit in.  Thanks for posting this one!"
102602,20930,10/26/2003,5,"Jan, we love your pasta salad, it's delicious. I've never used chives in a pasta salad before, it adds a very nice flavor. I made a few changes, I omitted the bacon and served the pine nuts on the side (DS HATES pine nuts). I added some extra garlic, a grating of parmesan cheese and some fresh basil (couldn't resist, it's grows right next to the oregano and chives in my garden). I'll be making this again... soon. Thanks for posting this recipe! "
172467,29093,8/24/2009,5,"Lucious cake, firm on the outside, warm and creamy inside. Looks like you slaved away all day but the directions are easy. I will definitely make this again. it's a keeper! Thanks for posting."
2042100,29093,10/23/2011,5,"Amazing recipe! The cakes taste even better than the ones you get in most restaurants. Everyone loves it! Easy and on the spot.<br/><br/>Usually I divide it by 3, since there's only my fiancee and me in my house and the regular amount can last for a week."
2002068522,29093,3/26/2018,0,i made it and it was amazing
58332,41090,2/25/2003,4,"The flavor of the vinegar was a little too ""whang!"" for me so I added a little olive oil.  This tempered the acidity and made a really good lunch. Thank you!"
160497,41090,4/22/2007,5,"I have made this several times now.  I substitute regular white vinegar for the white wine vinegar and the whole family enjoys this!  The dressing does not overwhelm the flavors of the vegetables. I also have doubled the recipe, using one can black beans and one can red beans with two cans white beans for a different color combination."
67026,60656,5/8/2004,4,Good basic recipe that i used as the basis of some great red sauce.  Thanks!
183565,79222,2/13/2006,5,"Wow!  My family loves this recipe and it is a great winter meal.  I do have to say that I adjusted a little but the base remains the same.  Here's what I did different:  I peeled my potatoes and diced them very small. I left out the creamed corn, nutmeg, cayenne pepper, and parsley.  Instead I used approx. 1 tsp of Old Bay seasoning. Then right before I stirred in the crab meat, I used my potato masher to mash up some of the potatoes.  This makes the chowder a little thicker.  These are all just my personal preferences.  I have made this several times and have forgotten to review it.  It's awesome!  Thanks Pantry Chef Starkey."
101823,79222,3/21/2006,5,"Excellent chowder.  This was the perfect warm-up at the end of a cold, snowy day.  I used more crab meat than the recipe called for, but otherwise followed the directions.  This was so simple, and worked well to put in the crockpot to keep warm while I waited for Hubby to come home for the evening.  We will make this again."
349752,79222,4/7/2007,5,"Tasty, low fat, fast & easy!  I added 1tsp. of Old Bay Seasoning and 1 tsp. of Cajun Seasoning with a 14 oz. can of crab.  We all like the extra spice.  This recipe would satisfy DH & DS without any side dishes, but I offered saltines & a salad on the side just in case.  Definitely a keeper!"
446143,79222,2/1/2008,4,"Oh, how wonderful!  I doubled the crab, and added some carrots (and some extra broth to compensate.)  We still thought there should be more crab though.  The nutmeg flavor was wonderful and the cayenne added a tiny kick.  Lovely recipe PCS!"
226989,79222,3/7/2008,4,"DH and I enjoyed this. However I used it only as a base for a potato/seafood chowder. I made as is, except that I added about 1/4lb bacon, which I diced and fryed, tossed with 8oz crab the recipe called for and added about 1 cup pre cooked shirmp. Fryed them all together for a moment and put that all into the chowder. I also used a small can of creamed corn, as I'm not a huge fan of it. I think it needs salt for sure, I also increase the nutmeg and cayenne and added a bit of a chilli/garlic sauce. Good soup, I'll use it again."
868654,79222,10/7/2008,5,"Along with the onions we added in a square of salt pork, and fried them up till they were crisp.  We loved this soup, and we will definately have it again when we get the craving for something to warm the tummy!  Thank you!"
